park_name,park_type,park_prima,geometry,species_count,species_richness
Locarno Park,Local,Park,"MULTIPOLYGON (((-123.2124100124543 49.276453036353, -123.2120550463111 49.27642203140847, -123.2117860340945 49.27642297401645, -123.211393025896 49.27642998972271, -123.2112110415121 49.27644902824529, -123.2112489828458 49.27636100388676, -123.2112480540762 49.27622304710331, -123.2111899692576 49.2760539886769, -123.2110739522125 49.27588404586168, -123.2108909672934 49.27572097126947, -123.2106890358791 49.27563401362384, -123.2102569927407 49.27549702243973, -123.2098820330634 49.27542800543551, -123.2095849786272 49.27539104217965, -123.2092969849093 49.27537897375473, -123.2089420493501 49.27537997539064, -123.2084719879563 49.27539296607814, -123.2080979998006 49.27541900099717, -123.2076380556051 49.27543898410739, -123.2071680475309 49.27546500962323, -123.2067560166272 49.27550298035011, -123.2062860236607 49.27556002897735, -123.2059019593156 49.27561701214536, -123.2048859918787 49.27580803826061, -123.204166955427 49.27595302517886, -123.2035059614609 49.27609898420629, -123.2028929769422 49.2762319949308, -123.2025203318502 49.27630774858598, -123.2025283357728 49.27597488424539, -123.2027135433174 49.27596165952735, -123.2027388371142 49.27527842853579, -123.2028585899933 49.27528042035034, -123.2028647570564 49.27510815227315, -123.2027452799258 49.27510615228768, -123.2028659510892 49.27186266001739, -123.2028820313619 49.27187697699647, -123.2028830544878 49.27187796454064, -123.2028910189305 49.27188496569938, -123.202898987052 49.27189304507146, -123.2029079710685 49.27190004472958, -123.2029160468528 49.27190704516875, -123.202924014864 49.2719150353679, -123.2029329989427 49.27192203412443, -123.2029409620287 49.2719290352435, -123.2029499461127 49.27193603399851, -123.2029580232814 49.27194303446972, -123.2029670108759 49.27195102316548, -123.2029759949681 49.27195802191806, -123.2029839580667 49.27196502303357, -123.202993054816 49.27197202200181, -123.2030020389162 49.27197902075201, -123.203011023019 49.2719860195014, -123.2030200070704 49.27199301914919, -123.2030289911787 49.27200001789699, -123.2030379703569 49.2720060275653, -123.2030479740417 49.2720130248108, -123.2030569581038 49.27202002445535, -123.2030660549291 49.2720270225176, -123.2030760550608 49.27203303071722, -123.2030850391311 49.27204003035916, -123.2030940232583 49.27204702910104, -123.2031040269603 49.2720540263409, -123.2031140271028 49.27206003453684, -123.2031230098664 49.27206703324051, -123.2031330100142 49.27207304143462, -123.2031430150996 49.27208003870613, -123.2031530139351 49.27208604596341, -123.2031630190262 49.27209304323301, -123.2031719981209 49.27209896371857, -123.2031819983361 49.27210497100851, -123.2031920020639 49.27211196823961, -123.2032030218038 49.2721179749249, -123.2032130219729 49.27212398311112, -123.2032230221987 49.27212999039704, -123.203233022373 49.27213599858132, -123.2032430225498 49.27214200676454, -123.2032540458691 49.2721490024871, -123.2032640461056 49.272155009769, -123.2032749532128 49.27216101622953, -123.2032849534005 49.27216702440874, -123.2032959696532 49.27217204114189, -123.2033059684092 49.27217795921342, -123.2033169881795 49.27218396588645, -123.2033280093787 49.27218997169449, -123.2033390292089 49.27219597746593, -123.2033490258449 49.27220099659608, -123.2033600456805 49.27220700236516, -123.2033709528123 49.27221300881555, -123.2033819676592 49.27221802640337, -123.2033929888749 49.27222403220454, -123.2034040037158 49.27222895882071, -123.2034150248828 49.27223496551874, -123.2034269480895 49.27223998051719, -123.2034379678902 49.27224598717731, -123.2034489841782 49.2722510038943, -123.2034600004686 49.27225602061012, -123.2034720399083 49.2722620248628, -123.2034830562039 49.27226704157621, -123.2034939597297 49.27227196890099, -123.203505995607 49.27227698410714, -123.2035170119097 49.27228200081696, -123.2035290513635 49.27228800506306, -123.2035409745962 49.27229302004853, -123.2035519873346 49.27229704771204, -123.2035640231592 49.2723019728416, -123.203575946345 49.27230698872242, -123.2035869626624 49.27231200542488, -123.2035989985601 49.27231702062033, -123.2036110344604 49.27232203581443, -123.2036229540716 49.27232597167804, -123.2036349899769 49.27233098686946, -123.2036470258847 49.27233600205943, -123.2036589455682 49.27234002798897, -123.2036709814809 49.27234504317633, -123.2036830138101 49.27234897835037, -123.2036950497278 49.27235399353488, -123.2037069694201 49.27235801945906, -123.2037200262934 49.27236303316946, -123.2049800334056 49.27281398063433, -123.205585012099 49.27303000592723, -123.2055569836985 49.27381400723231, -123.2055240311279 49.27502295365157, -123.205790880677 49.27502202940681, -123.2057909774692 49.27501798246284, -123.2085859827812 49.27457499388089, -123.2085858876807 49.27457913093518, -123.2088478813327 49.27458297421302, -123.2088479779331 49.27457901733337, -123.2101019520211 49.27459904754146, -123.2116109499039 49.27503400056586, -123.2116106410123 49.27504119528712, -123.2118708903667 49.27511338516697, -123.211870988626 49.27510996784169, -123.2146063652423 49.2759100658368, -123.2145989994952 49.27608997604984, -123.2145910054317 49.27632146050117, -123.2145690496776 49.2769128883501, -123.2143689524117 49.2769200406991, -123.2141100216788 49.27694597185778, -123.2138410278005 49.27697803743708, -123.2135539469301 49.27702200620109, -123.2133429700489 49.27704802681107, -123.2132089909723 49.27707903136672, -123.213227985465 49.27704104413199, -123.2132270439603 49.27695399060709, -123.2131689973614 49.27682198467735, -123.2130540373825 49.27671499628689, -123.2129090393114 49.27660896147754, -123.2127649933977 49.27653997858141, -123.2124100124543 49.276453036353)), ((-123.2058829617111 49.27246900833352, -123.208647002444 49.27251297433471, -123.2086070338851 49.27359899512955, -123.20722600588 49.27357800760094, -123.2058439558446 49.27355601579689, -123.2058829617111 49.27246900833352)), ((-123.2030009951392 49.27133797492763, -123.2056460509101 49.27137898389664, -123.2055985445142 49.27271446933084, -123.2043160358693 49.27223972217313, -123.2040515945155 49.27213975889838, -123.2037720397261 49.27203780558079, -123.2035191488616 49.27192995563502, -123.2032868922719 49.27182237220964, -123.2030521126024 49.27170702200791, -123.2029513959625 49.27165387193626, -123.2028462958647 49.27159127977241, -123.2027759665219 49.2715347486481, -123.202692682385 49.2714627943507, -123.2026504143171 49.27142388272966, -123.2026315171412 49.27140390214247, -123.2026248374262 49.2713949878738, -123.2026227570043 49.27139127897504, -123.2026223823206 49.27138464292599, -123.2026249486075 49.27138025014791, -123.2026285811936 49.27137631102971, -123.2026333901983 49.27137343728828, -123.2026433794421 49.27136882438163, -123.202665400155 49.27136214098763, -123.2026969317833 49.2713557229993, -123.2027774884374 49.27134274410881, -123.2028459745871 49.2713390212188, -123.2030009951392 49.27133797492763)))",16,16
Macdonald Park,Local,Park,"POLYGON ((-123.099275951563 49.23013802991363, -123.0974740363442 49.23010197174766, -123.0975050089564 49.22938103230545, -123.0993109737991 49.22941600703616, -123.099275951563 49.23013802991363))",0,0
Maclean Park,Local,Park,"POLYGON ((-123.0875045805877 49.27845141156283, -123.0875664501353 49.27849986228895, -123.0875940423035 49.27850937988733, -123.0876253384409 49.27851556561419, -123.0876578769366 49.27851763696936, -123.0876904079846 49.27851551609719, -123.0877216828721 49.27850928280121, -123.0877504963402 49.27849917838932, -123.0877757439083 49.27848559010615, -123.0877964541624 49.27846904029372, -123.0878100650364 49.27845286280812, -123.0895084952376 49.27847852705047, -123.0894789452324 49.27918797158844, -123.0873753223405 49.27915099990269, -123.0874131054423 49.27844863176784, -123.0875045805877 49.27845141156283))",0,0
Major Matthews Park,Local,Park,"POLYGON ((-123.1074353579884 49.26169783664164, -123.1070209440006 49.26169041355723, -123.1070228863336 49.26163554078571, -123.10703008443 49.26146867310781, -123.1074444845442 49.26147637507229, -123.1074372998317 49.26164296386323, -123.1074353579884 49.26169783664164))",0,0
Malkin Park,Local,Park,"POLYGON ((-123.1779130445944 49.23118899827603, -123.1779120533371 49.23274198512046, -123.1759579902563 49.23270801536665, -123.1759790564365 49.23117703185555, -123.1779130445944 49.23118899827603))",0,0
,Local,Green Space,"POLYGON ((-123.0490934563122 49.29266730168997, -123.0490963936971 49.29231287318656, -123.0495130362619 49.29231719237038, -123.0495113443793 49.29266577392956, -123.0494988691322 49.29266613922477, -123.0494961482908 49.2926662306139, -123.0494577074198 49.29266867507478, -123.0494233476488 49.29267075815369, -123.0493528161626 49.29267438566668, -123.0493318365757 49.29267484461891, -123.0493104024526 49.2926745831684, -123.0492273894816 49.29267174092301, -123.0491886040479 49.2926701387775, -123.0491289522112 49.29266773579309, -123.0491210135711 49.2926675593781, -123.0490934563122 49.29266730168997))",0,0
Aberdeen Park,Local,Park,"POLYGON ((-123.026560609602 49.23421460139874, -123.0271641056575 49.23421446109155, -123.0279954987506 49.23421651080418, -123.0279948699535 49.23510802872095, -123.02796024969 49.23518016478419, -123.0278611903271 49.2352730904564, -123.0272544698777 49.2349959685421, -123.0272507321147 49.23499426023033, -123.0272442734147 49.23499147428996, -123.0272379284857 49.23498877706395, -123.0272313583204 49.23498608083492, -123.0272247862897 49.23498356381828, -123.0272181030118 49.23498104733762, -123.0272114180875 49.23497862089377, -123.0272046203264 49.23497628412374, -123.0271978236599 49.234974037466, -123.027190912786 49.23497188044431, -123.0271838879237 49.23496972388306, -123.0271768652498 49.2349677475467, -123.0271698412636 49.23496577027293, -123.0271627043828 49.23496388357219, -123.0271555672835 49.23496208604657, -123.027148315919 49.23496037905628, -123.0271410670194 49.23495876221595, -123.0271337025416 49.23495723497373, -123.0271264531471 49.23495579738304, -123.0271190894873 49.23495445032761, -123.0271116129903 49.2349531929458, -123.0271041364937 49.23495193556349, -123.0270966594438 49.23495085833051, -123.0270891837649 49.23494978113477, -123.0270817075903 49.23494888318908, -123.0270741174269 49.23494798570371, -123.0270665280807 49.23494726840534, -123.0270589387922 49.23494655020722, -123.0270513489502 49.2349460121584, -123.02704364649 49.23494547460758, -123.0270360577419 49.23494502667034, -123.0270283547282 49.2349446692682, -123.0270207652071 49.23494449065554, -123.0270130630678 49.23494431254066, -123.0270053606514 49.23494422450027, -123.0269977719471 49.23494422607359, -123.0269900689768 49.23494431818187, -123.0269823668805 49.23494458957807, -123.026974777345 49.23494486137449, -123.0269670749715 49.23494522284453, -123.0269594863097 49.23494567392831, -123.0269517847524 49.23494621558476, -123.0269441955361 49.23494684681732, -123.0269366074131 49.23494756816212, -123.0269290190127 49.23494837958122, -123.0269215432305 49.23494919050141, -123.0269139543328 49.23495018117008, -123.026906479089 49.23495126235185, -123.0268990035677 49.23495243360801, -123.026891642035 49.23495360440309, -123.0268841673867 49.23495495494662, -123.0268768050215 49.23495639596546, -123.0268694427134 49.23495783608456, -123.0268621954297 49.23495936675467, -123.0268549462202 49.23496107753628, -123.0268478109994 49.23496278785699, -123.0268406768712 49.23496458828985, -123.0268335410945 49.23496647875942, -123.026826519029 49.23496845884294, -123.0268194980562 49.2349705290387, -123.0268125894238 49.23497268881077, -123.0268056807908 49.23497484858232, -123.0267988869044 49.23497718897984, -123.0267920917043 49.23497952843993, -123.0267854098802 49.23498204848832, -123.0267787281129 49.23498456763696, -123.026772159999 49.23498717729892, -123.0267657044453 49.23498978736161, -123.026759249764 49.23499257671228, -123.0267529090712 49.23499536560216, -123.0267466806609 49.23499824496762, -123.0267404519725 49.23500121440768, -123.0267343369948 49.23500427346181, -123.0264812287449 49.23488822687994, -123.0265601385987 49.23481446314348, -123.026560609602 49.23421460139874))",0,0
Adanac Park,Local,Park,"POLYGON ((-123.027155979381 49.27537404824408, -123.0271160183817 49.27733802585124, -123.0253889767487 49.27733500068073, -123.0253929597617 49.27648099110574, -123.0238129840695 49.27647800044428, -123.0238179959995 49.27535104202969, -123.024240953825 49.2753510441472, -123.0242409664661 49.27537802441847, -123.027155979381 49.27537404824408))",0,0
Alexandra Park,Local,Park,"POLYGON ((-123.1423880149961 49.2861059907721, -123.1414950211715 49.28552800564361, -123.1426570563477 49.2847599845561, -123.1423880149961 49.2861059907721))",0,0
Alice Townley Park,Local,Park,"POLYGON ((-123.0736430485287 49.26881496853523, -123.0744719722293 49.26882199155591, -123.0744660144516 49.26915600888844, -123.0736369728882 49.26914997542252, -123.0736430485287 49.26881496853523))",0,0
